username,total_posts,total_views,political_posts,electoral_posts,military_posts,economy_posts,religion_posts,international_posts,political_views,electoral_views,military_views,economy_views,religion_views,international_views
BATYALesha,21,18974,0,0,0,0,0,0,0,0,0,0,0,0
BAZARPRO,1,26,0,0,0,0,0,0,0,0,0,0,0,0
BBC_news_ru,4,63,0,0,0,0,0,0,0,0,0,0,0,0
BCPDMC,1,22,0,0,0,0,0,0,0,0,0,0,0,0
BCS_channel,6,1119,0,0,0,0,0,0,0,0,0,0,0,0
BDK022,19,109129,0,0,0,0,0,0,0,0,0,0,0,0
BD_group,11,6186,0,0,0,0,0,0,0,0,0,0,0,0
BEmoeNUG,35,611800,0,0,0,0,0,0,0,0,0,0,0,0
BFMnews,148,2265840,3,0,0,1,0,0,35630,0,0,8100,0,0
BGazeta,2,44,0,0,0,0,0,0,0,0,0,0,0,0
BILD_Russian,62,639480,6,0,0,0,0,0,61900,0,0,0,0,0
BIRINCHI_UZ,3789,184012098,1,0,0,0,0,0,41000,0,0,0,0,0
BIoomberg,6,60570,0,0,0,0,0,0,0,0,0,0,0,0
BKhodakovsky,17,8252,0,0,0,0,0,0,0,0,0,0,0,0
BNK11,18,42598,0,0,0,0,0,0,0,0,0,0,0,0
BORGAPUZ,4106,186615371,0,0,0,0,0,0,0,0,0,0,0,0
BO_AK_reborn,43,52329,10,0,0,0,1,0,12177,0,0,0,1040,0
BPinf,20,46050,0,0,0,0,0,0,0,0,0,0,0,0
BREAKINGHEADLINES,1143,5603186,0,0,0,0,0,0,0,0,0,0,0,0
BREAK_ING,128,20410,0,0,0,0,0,0,0,0,0,0,0,0
BRIGANZORGANIZER,18,9741,0,0,0,0,0,0,0,0,0,0,0,0
BROTHERSIRQ,103,3942960,0,0,0,0,0,0,0,0,0,0,0,0
BabkaNews,745,4684547,23,0,0,1,1,0,147880,0,0,7900,6300,0
Babyshka33,12,76950,2,0,0,0,0,0,15020,0,0,0,0,0
BadFutballl,132,170843,0,0,0,0,0,0,0,0,0,0,0,0
Bagdodliklar_Bogdodliklar_Bagdad,51,12899,0,0,0,0,0,0,0,0,0,0,0,0
BagnenkoDaily,2,310,0,0,0,0,0,0,0,0,0,0,0,0
Baikal_Daily,81,200289,0,0,0,0,0,0,0,0,0,0,0,0
Baikal_People,32,100288,2,0,0,0,0,0,4019,0,0,0,0,0
Bajov_Skaz,40,408800,2,0,0,0,0,0,23200,0,0,0,0,0
Balakovo_true,45,248800,1,0,0,0,0,0,4050,0,0,0,0,0
Balashiha_Podslushan,13,6688,0,0,0,0,0,0,0,0,0,0,0,0
Balashiha_crazy,49,678100,0,0,0,0,0,0,0,0,0,0,0,0
Balashiha_podslushal,52,981100,0,0,0,0,0,0,0,0,0,0,0,0
Balashiha_true,42,236807,0,0,0,0,0,0,0,0,0,0,0,0
Balashikha_peace,43,305660,0,0,0,0,0,0,0,0,0,0,0,0
Balashov_volsk,48,311140,2,0,0,0,0,0,12280,0,0,0,0,0
BalitskyEV,13,496044,0,0,0,0,0,0,0,0,0,0,0,0
Bandaralgaloud,8,36300,0,0,0,0,0,0,0,0,0,0,0,0
Bandarnews1,16,2874,0,0,0,0,0,0,0,0,0,0,0,0
Barbarossa_SMGI,19,376100,0,0,0,0,0,0,0,0,0,0,0,0
BarnaulAnalytics,17,223570,0,0,0,0,0,0,0,0,0,0,0,0
Barnaul_crazy,40,556800,0,0,0,0,0,0,0,0,0,0,0,0
Barnaul_inside,43,304682,1,0,0,0,0,0,6200,0,0,0,0,0
Barnaul_peace,43,307050,0,0,0,0,0,0,0,0,0,0,0,0
Barnaul_podslushal,50,978300,1,0,0,0,0,0,18600,0,0,0,0,0
Barnaul_true,44,330980,0,0,0,0,0,0,0,0,0,0,0,0
Baronova,12,11173,0,0,0,0,0,0,0,0,0,0,0,0
BarrrsGroup,26,28177,2,0,0,0,0,0,2122,0,0,0,0,0
Bash_ufa,2,1155,0,0,0,0,0,0,0,0,0,0,0,0
BasicMoscow,499,6394100,5,0,0,1,0,0,59050,0,0,13700,0,0
Basij_SharifU,25,44224,0,0,0,0,0,0,0,0,0,0,0,0
BasijeMadarsag,8,11129,0,0,0,0,0,0,0,0,0,0,0,0
BatalionBratstvo,8,31842,0,0,0,0,0,0,0,0,0,0,0,0
Batalon_Shayha_Mansura,9,2573,1,0,0,0,0,0,386,0,0,0,0,0
Bataysk_true,44,327750,2,0,0,0,0,0,14090,0,0,0,0,0
Batman_DNR,4,54000,0,0,0,0,0,0,0,0,0,0,0,0
Bayraktar_News_UA,649,5052204,42,0,0,0,0,0,332010,0,0,0,0,0
Bazimag,17,3298,0,0,0,0,0,0,0,0,0,0,0,0
BehzadMehrani77,16,10393,0,0,0,0,0,0,0,0,0,0,0,0
BehzistiKomiteNews,71,942000,0,0,0,0,0,0,0,0,0,0,0,0
BehzistiKomite_News,1,3900,0,0,0,0,0,0,0,0,0,0,0,0
Behzod_Qobulov,2,1694,0,0,0,0,0,0,0,0,0,0,0,0
Belarus_Files,15,38410,1,0,0,0,0,0,2400,0,0,0,0,0
Belarus_VPO,96,339075,5,0,0,0,0,0,8442,0,0,0,0,0
Belarus_now,16,322,0,0,0,0,0,0,0,0,0,0,0,0
BelayaRysOficial,49,65335,3,0,0,0,0,0,3782,0,0,0,0,0
Belgorod00,22,757,0,0,0,0,0,0,0,0,0,0,0,0
Belgorod_crazy,31,433300,0,0,0,0,0,0,0,0,0,0,0,0
